player,position,team,jID,player_id,team_id,xID
F. Kainz,ZO,Home,11,DFL-OBJ-0027AX,DFL-CLU-000008,0
Timo Horn,None,Home,1,DFL-OBJ-0000M0,DFL-CLU-000008,1
Jonas Hector,LV,Home,14,DFL-OBJ-00012X,DFL-CLU-000008,2
D. Selke,STZ,Home,27,DFL-OBJ-000270,DFL-CLU-000008,3
M. Schwäbe,TW,Home,20,DFL-OBJ-0002HE,DFL-CLU-000008,4
B. Schmitz,RV,Home,2,DFL-OBJ-0002BO,DFL-CLU-000008,5
K. Schindler,RV,Home,17,DFL-OBJ-0027V2,DFL-CLU-000008,6
Timo Hübers,IVR,Home,4,DFL-OBJ-0027B6,DFL-CLU-000008,7
Kristian Pedersen,LV,Home,3,DFL-OBJ-0026ZI,DFL-CLU-000008,8
L. Maina,OLM,Home,37,DFL-OBJ-0028BD,DFL-CLU-000008,9
T. Lemperle,STZ,Home,25,DFL-OBJ-002GBW,DFL-CLU-000008,10
Jan Thielmann,STZ,Home,29,DFL-OBJ-002G89,DFL-CLU-000008,11
Ellyes Skhiri,DML,Home,28,DFL-OBJ-002G4A,DFL-CLU-000008,12
D. Limnios,None,Home,19,DFL-OBJ-002GLJ,DFL-CLU-000008,13
D. Ljubicic,ORM,Home,7,DFL-OBJ-J01BGM,DFL-CLU-000008,14
Luca Kilian,None,Home,15,DFL-OBJ-002G0R,DFL-CLU-000008,15
Jeff Chabot,IVL,Home,24,DFL-OBJ-J01D1W,DFL-CLU-000008,16
D. Huseinbašić,ZO,Home,8,DFL-OBJ-J01DVC,DFL-CLU-000008,17
E. Martel,DMR,Home,6,DFL-OBJ-002GKO,DFL-CLU-000008,18
Mathias Olesen,None,Home,47,DFL-OBJ-J01LJ2,DFL-CLU-000008,19
Y. Sommer,TW,Away,27,DFL-OBJ-0002DR,DFL-CLU-00000G,0
S. Ulreich,None,Away,26,DFL-OBJ-0000LT,DFL-CLU-00000G,1
E. Choupo-Moting,STZ,Away,13,DFL-OBJ-0000RP,DFL-CLU-00000G,2
T. Müller,ZO,Away,25,DFL-OBJ-0000IA,DFL-CLU-00000G,3
D. Blind,None,Away,23,DFL-OBJ-J00USE,DFL-CLU-00000G,4
Leon Goretzka,DML,Away,8,DFL-OBJ-000191,DFL-CLU-00000G,5
S. Mané,None,Away,17,DFL-OBJ-J0117H,DFL-CLU-00000G,6
Serge Gnabry,STZ,Away,7,DFL-OBJ-0027G6,DFL-CLU-00000G,7
Joshua Kimmich,DMR,Away,6,DFL-OBJ-0002F5,DFL-CLU-00000G,8
Kingsley Coman,OLM,Away,11,DFL-OBJ-0026PM,DFL-CLU-00000G,9
Leroy Sané,ORM,Away,10,DFL-OBJ-0002AU,DFL-CLU-00000G,10
Joao Cancelo,DLM,Away,22,DFL-OBJ-J015S4,DFL-CLU-00000G,11
Dayot Upamecano,IVR,Away,2,DFL-OBJ-0027KL,DFL-CLU-00000G,12
Benjamin Pavard,RV,Away,5,DFL-OBJ-0027G0,DFL-CLU-00000G,13
M. de Ligt,IVL,Away,4,DFL-OBJ-J017RE,DFL-CLU-00000G,14
N. Mazraoui,LV,Away,40,DFL-OBJ-J01APO,DFL-CLU-00000G,15
Ryan Gravenberch,DML,Away,38,DFL-OBJ-J01B8N,DFL-CLU-00000G,16
J. Stanišić,None,Away,44,DFL-OBJ-002GIC,DFL-CLU-00000G,17
J. Musiala,ZO,Away,42,DFL-OBJ-002GCR,DFL-CLU-00000G,18
Mathys Tel,STL,Away,39,DFL-OBJ-J01N65,DFL-CLU-00000G,19
