player,position,team,jID,player_id,team_id,xID
R. Wolf,None,Home,1,DFL-OBJ-000170,DFL-CLU-00000P,0
Matthias Zimmermann,RV,Home,25,DFL-OBJ-0000NZ,DFL-CLU-00000P,1
F. Klaus,ORM,Home,11,DFL-OBJ-0000F8,DFL-CLU-00000P,2
Jorrit Hendrix,DML,Home,29,DFL-OBJ-J0130T,DFL-CLU-00000P,3
M. Sobottka,DMR,Home,31,DFL-OBJ-00028V,DFL-CLU-00000P,4
Dawid Kownacki,STZ,Home,9,DFL-OBJ-002FXT,DFL-CLU-00000P,5
E. Iyoha,STZ,Home,19,DFL-OBJ-0026RH,DFL-CLU-00000P,6
F. Kastenmeier,TW,Home,33,DFL-OBJ-0028FW,DFL-CLU-00000P,7
Shinta Appelkamp,ZO,Home,23,DFL-OBJ-002G5J,DFL-CLU-00000P,8
N. Vukančić,None,Home,47,DFL-OBJ-J01D0C,DFL-CLU-00000P,9
Tim Oberdorf,IVR,Home,15,DFL-OBJ-002GMO,DFL-CLU-00000P,10
Kristoffer Peterson,OLM,Home,7,DFL-OBJ-002GM1,DFL-CLU-00000P,11
C. Klarer,IVL,Home,5,DFL-OBJ-002GM9,DFL-CLU-00000P,12
A. Tanaka,DML,Home,4,DFL-OBJ-J01H9X,DFL-CLU-00000P,13
D. Bunk,ZO,Home,35,DFL-OBJ-J01JQC,DFL-CLU-00000P,14
D. Savic,None,Home,37,DFL-OBJ-J01KE3,DFL-CLU-00000P,15
M. Karbownik,LV,Home,8,DFL-OBJ-J01KJ5,DFL-CLU-00000P,16
Kwadwo Baah,ORM,Home,14,DFL-OBJ-J01L1F,DFL-CLU-00000P,17
E. Fernandes Neto,OLM,Home,46,DFL-OBJ-J01NQ8,DFL-CLU-00000P,18
T. Geerkens,None,Home,45,DFL-OBJ-J01PRX,DFL-CLU-00000P,19
R. Munsy,STZ,Away,9,DFL-OBJ-0028JQ,DFL-CLU-00000Q,0
M. Kolke,TW,Away,1,DFL-OBJ-002FZB,DFL-CLU-00000Q,1
L. Hinterseer,None,Away,22,DFL-OBJ-0002GW,DFL-CLU-00000Q,2
P. Breier,OLM,Away,39,DFL-OBJ-0028IJ,DFL-CLU-00000Q,3
J. Verhoek,STL,Away,18,DFL-OBJ-00019R,DFL-CLU-00000Q,4
N. Neidhart,DRM,Away,7,DFL-OBJ-0001IG,DFL-CLU-00000Q,5
T. Meißner,IVR,Away,25,DFL-OBJ-0001CF,DFL-CLU-00000Q,6
D. Roßbach,None,Away,4,DFL-OBJ-0002IR,DFL-CLU-00000Q,7
K. Pröger,STR,Away,19,DFL-OBJ-002FXA,DFL-CLU-00000Q,8
L. Scherff,None,Away,20,DFL-OBJ-J0153J,DFL-CLU-00000Q,9
Lukas Fröde,IVZ,Away,34,DFL-OBJ-0025BB,DFL-CLU-00000Q,10
Nils Körber,None,Away,23,DFL-OBJ-00264V,DFL-CLU-00000Q,11
Anderson Lucoqui,DLM,Away,21,DFL-OBJ-0026ZT,DFL-CLU-00000Q,12
D. Dressel,DMZ,Away,6,DFL-OBJ-J0196K,DFL-CLU-00000Q,13
R. van Drongelen,IVL,Away,5,DFL-OBJ-00286X,DFL-CLU-00000Q,14
Frederic Ananou,IVR,Away,27,DFL-OBJ-0028KZ,DFL-CLU-00000Q,15
Svante Ingelsson,HL,Away,14,DFL-OBJ-002GLL,DFL-CLU-00000Q,16
D. Lee,HL,Away,17,DFL-OBJ-J01GG9,DFL-CLU-00000Q,17
S. Thill,HR,Away,29,DFL-OBJ-J01KGY,DFL-CLU-00000Q,18
Nils Fröling,ORM,Away,15,DFL-OBJ-J01MF0,DFL-CLU-00000Q,19
